order_id;user_id;order_number;order_dow;order_hour_of_day;days_since_prior_order
1515936;183418;11;6;13;30.0
1690866;163593;5;5;12;9.0
1454967;39980;4;5;19;2.0
1768857;82516;56;0;20;10.0
3007858;196724;2;4;12;17.0
1843871;20084;5;0;11;15.0
2511640;148233;40;3;8;2.0
2521283;97711;2;0;18;22.0
2266494;34954;40;5;15;4.0
446014;15356;2;4;8;10.0
1162566;43738;33;4;11;2.0
102585;191558;18;6;16;8.0
2276302;190167;21;1;12;2.0
782916;36310;34;5;9;3.0
2843219;74699;4;6;11;30.0
1989200;71810;4;1;9;12.0
3109465;55090;19;3;15;9.0
727519;146663;7;4;22;11.0
556588;6801;63;5;11;7.0
294269;107523;29;2;10;1.0
50934;178510;9;6;9;5.0
3097921;97319;40;4;9;8.0
1546269;182211;12;1;15;6.0
3406282;19356;21;0;0;14.0
3358682;162252;14;5;8;5.0
1895419;169793;2;0;11;8.0
1844247;122558;4;6;18;30.0
457775;61263;24;0;16;7.0
133707;182261;1;3;10;
547066;278;38;1;14;4.0
1890318;193501;3;3;15;30.0
1804574;195874;4;1;14;30.0
2744097;5316;27;2;17;8.0
2672948;159620;8;5;16;3.0
1864378;94267;25;0;11;7.0
125325;106853;6;3;19;30.0
3378084;127629;21;1;10;20.0
1559475;94261;7;0;1;8.0
6891;61176;6;6;16;30.0
1673791;50;8;6;14;3.0
1521693;51377;2;4;14;15.0
939348;21335;28;2;15;6.0
3229994;37136;9;6;12;30.0
698527;95296;58;3;14;22.0
1590582;85603;2;1;20;16.0
2057617;88111;8;1;7;6.0
2398578;84825;2;2;17;4.0
80255;11655;17;4;8;30.0
3247802;118480;13;0;11;8.0
2161799;87345;7;0;10;24.0
1117249;76062;15;5;18;23.0
1739741;118405;48;2;10;3.0
1314300;195070;33;5;15;7.0
3129519;124203;26;1;7;4.0
3394946;20344;6;6;10;30.0
413622;27642;7;0;12;7.0
1912865;114470;18;4;18;1.0
2499477;17475;11;0;16;14.0
2236346;16639;3;2;15;3.0
1391869;191310;2;2;18;27.0
2535801;40352;25;5;9;4.0
299982;15400;15;0;9;7.0
736620;135085;9;5;13;5.0
2348411;34202;2;5;12;11.0
549749;170899;2;4;19;13.0
2280369;117075;3;6;13;3.0
3335598;183111;86;3;15;1.0
1635369;130613;25;1;8;5.0
2319370;114389;21;2;14;1.0
3163566;124176;9;5;7;17.0
309609;31733;9;5;11;15.0
814987;124402;30;4;9;3.0
509318;32690;8;2;12;7.0
339892;130019;2;2;10;30.0
3389952;190190;16;6;19;30.0
3023252;169342;4;0;15;5.0
2964132;158799;16;0;20;6.0
870320;51326;14;1;15;30.0
1457177;96481;24;0;15;7.0
469866;200435;12;1;13;13.0
2184845;105849;6;1;16;7.0
2873999;9551;4;3;10;7.0
1252090;56500;2;1;14;6.0
2020691;89620;5;2;14;7.0
3115260;130469;5;3;17;30.0
211778;40405;19;2;15;11.0
802292;142830;3;6;9;22.0
1784860;157862;10;1;6;30.0
1228717;69447;21;0;20;7.0
687909;50272;4;0;16;0.0
3229613;191465;34;4;17;2.0
2043895;109325;10;0;19;7.0
60724;110808;78;0;10;2.0
862584;39435;5;2;17;30.0
3374270;102953;3;1;9;13.0
419244;138114;5;2;17;5.0
787445;25685;1;6;18;
2219216;120591;7;6;17;7.0
1653777;122615;9;2;8;13.0
2224905;27889;6;1;12;28.0
294410;111449;1;0;19;
2616212;62409;9;6;14;20.0
2865765;12043;23;2;11;10.0
2869915;123958;1;4;16;
2521921;42286;1;3;18;
1381392;139246;4;0;16;28.0
1616082;70024;7;2;6;7.0
77252;111813;2;0;11;20.0
1169339;164538;5;0;11;30.0
2646057;20084;6;0;13;7.0
386001;42774;35;0;13;21.0
2651928;142920;1;0;14;
2579106;23876;3;2;11;30.0
3384718;41886;10;2;11;1.0
153175;168436;6;2;12;7.0
1856957;8991;10;6;8;5.0
413090;103837;8;6;19;2.0
2733363;60555;28;6;15;7.0
174214;148907;1;1;8;
333585;128816;3;3;10;6.0
2196619;136213;41;4;12;3.0
2283514;197268;8;3;19;7.0
299712;172237;9;6;17;10.0
453772;48996;3;5;19;30.0
3276872;56801;39;2;12;2.0
2806176;5261;2;4;11;1.0
110873;203037;8;0;17;25.0
2146391;47823;3;6;8;16.0
1715772;104218;10;2;16;21.0
2022003;167297;59;5;14;3.0
609901;67625;4;0;16;8.0
1675469;117088;33;2;9;7.0
1613751;99495;77;4;7;6.0
642405;203590;2;1;14;7.0
1795753;89483;11;3;9;9.0
644283;68742;53;0;16;14.0
2027059;155439;33;1;9;7.0
350053;156272;7;0;22;22.0
2172665;119195;43;0;14;7.0
362514;199880;5;4;13;2.0
3156095;113920;14;2;10;2.0
1076470;125322;16;5;19;3.0
1321902;152538;5;1;16;4.0
3175374;52597;6;5;16;0.0
2187680;21788;27;0;20;6.0
1373529;143518;8;1;2;30.0
1245913;25206;5;2;19;3.0
2439694;99710;1;6;10;
2968906;132933;4;6;10;6.0
76536;112708;32;3;13;2.0
887968;186579;16;1;14;7.0
1862933;97503;24;6;10;3.0
1748570;99750;13;6;13;8.0
2330731;103166;99;5;9;3.0
2076225;74324;10;2;17;8.0
957214;111483;15;1;0;9.0
2255694;186809;9;5;11;6.0
1330993;138895;1;4;6;
2835610;195350;1;6;19;
